[0509/093951.379:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0509/131150.112:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131155.134:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131200.140:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131205.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131210.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131215.183:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131220.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131225.197:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131230.207:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/131235.221:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/152915.806:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/152920.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153026.298:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153031.314:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153036.337:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153041.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153046.368:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153051.392:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153056.410:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153101.426:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153106.435:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153111.463:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153116.475:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153121.486:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153126.498:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/153131.514:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
